state,county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012* (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption* (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption* (%)2012 (Binge- past 30 days >4 drinks one occasion >5 for men),Population,LandArea (mi^2),"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Georgia,Dade GA,300,5,92.56748995,14.97,45.3,38,6.3,15.1,"16,116",174.1,47.2,43.4,39.1,36.9
Georgia,Dawson GA,852,9,122.0285113,12.7,55.25,32.9,6.9,14.9,"26,108",213.95,56.5,54,34.3,31.5
Georgia,Decatur GA,1229,33,42.36842105,18.34,48.5,43.6,6.4,13.1,"26,404",623.2,51.7,45.3,40.2,47
Georgia,DeKalb GA,19473,375,2802.454418,15.66,56.65,33.2,7.1,16.7,"759,297",270.94,58.5,54.8,28.3,38.1
Georgia,Dodge GA,445,12,40.94793323,17.71,44.65,43.5,5,11,"20,605",503.2,49.7,39.6,42.6,44.3
Georgia,Dooly GA,348,14,33.71522095,21.02,39.95,46.2,5.7,12.7,"13,390",397.15,44,35.9,40.8,51.5
Georgia,Dougherty GA,3192,188,262.8141154,20.25,50,43.4,7.2,14.5,"87,956",334.67,54.8,45.2,37.6,49.2
Georgia,Douglas GA,3761,70,730.7285165,17.53,54.25,34.9,6.1,13.6,"146,343",200.27,54.7,53.8,34.6,35.1
Georgia,Early GA,516,33,19.73620499,19.77,43.7,45.7,6.8,13,"10,190",516.31,45.5,41.9,41.6,49.7
Georgia,Echols GA,243,2,9.519283321,17.76,39.3,44.8,6,12.7,"4,006",420.83,39.9,38.7,44.2,45.3
Georgia,Effingham GA,1540,27,133.1483361,14.52,53.9,40.3,7.1,15.5,"64,296",482.89,54.8,53,38.6,42
Georgia,Elbert GA,707,5,51.24275836,17.06,45.5,42.3,5.8,13.7,"19,194",374.57,48.6,42.4,40.3,44.3
Georgia,Emanuel GA,1123,32,32.80127462,18.24,45.1,44.9,6.2,13.9,"22,646",690.4,49.6,40.6,40.8,48.9
Georgia,Evans GA,436,6,57.00374532,18.1,44.15,43.4,6.8,14.8,"10,654",186.9,46.4,41.9,38.7,48
Georgia,Fannin GA,731,27,66.89827824,14.04,50.2,36.1,5.1,11.3,"26,188",391.46,51.2,49.2,35.9,36.3
Georgia,Fayette GA,1947,52,574.200833,12.41,60.7,30,7.2,15.3,"114,421",199.27,61.4,60,29.6,30.4
Georgia,Floyd GA,3374,48,189.9672131,15.51,48.2,37.4,5.8,13.8,"98,498",518.5,53.2,43.2,34.2,40.6
Georgia,Forsyth GA,4312,47,987.3554855,12.83,60.7,28.2,7.6,17.1,"244,252",247.38,61.9,59.5,30.6,25.7
Georgia,Franklin GA,789,14,87.65297695,15.32,46.35,39.7,5.7,12.3,"23,349",266.38,43.9,48.8,37.9,41.4
Georgia,Fulton GA,28581,583,1990.192484,14.63,59.45,29.5,9.2,17.7,"1,063,937",534.59,59.9,59,27.1,31.8
Georgia,Gilmer GA,895,14,72.63864768,14.17,48.1,38.1,5.9,13.9,"31,369",431.85,49.4,46.8,36.9,39.2
Georgia,Glascock GA,40,2,20.56624671,15.28,44.8,42.2,4.7,11.5,"2,971",144.46,47.4,42.2,40.6,43.7
