county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Limestone AL,2396,23,162.9249572,15.56,45.95,40.0,4.9,10.8,,607.12,"98,915",50.4,41.5,39.1,40.9
Lowndes AL,672,27,13.41350729,22.47,41,48.5,6.8,13.2,,725.09,"9,726",44.7,37.3,41.6,55.3
Macon AL,503,18,29.46077712,22.98,43.3,46.9,7.8,13.9,,613.29,"18,068",48.0,38.6,39.9,53.9
Madison AL,8375,83,458.7447256,14.57,50.2,36.0,6.8,13.5,,812.89,"372,909",54.3,46.1,34.0,38.0
Marengo AL,757,20,19.1907785,19.43,44.55,46.3,5.5,12.0,,982.92,"18,863",52.4,36.7,41.9,50.6
Marion AL,1015,29,39.95185713,15.52,36.4,39.0,4.1,9.3,,743.62,"29,709",37.9,34.9,38.9,39.1
Marshall AL,4083,45,155.2831309,16.08,41.5,38.0,5.7,12.8,,623.21,"96,774",41.8,41.2,37.2,38.7
Mobile AL,13829,308,251.32288,17.05,45.75,40.1,7.7,16.5,,1644.14,"413,210",52.5,39.0,38.1,42.1
Monroe AL,601,9,20.03924146,18.04,43.5,44.4,5.1,10.9,,1034.62,"20,733",49.3,37.7,39.0,49.7
Montgomery AL,9107,188,283.174754,17.94,47.5,40.9,8.4,16.2,,799.81,"226,486",50.7,44.3,36.6,45.1
Morgan AL,3551,33,199.7679814,15.97,47.9,39.4,5.6,11.9,,599.09,"119,679",51.3,44.5,38.3,40.4
Perry AL,547,6,12.32237305,23.4,36.9,50.1,6.5,13.5,,724.13,"8,923",41.6,32.2,42.7,57.4
Pickens AL,697,15,22.39074261,19.11,41.9,45.1,4.5,9.7,,890.1,"19,930",46.3,37.5,41.8,48.3
Pike AL,1254,12,49.26578889,17.83,46.15,42.8,7.8,13.9,,672.15,"33,114",50.0,42.3,39.0,46.5
Randolph AL,723,13,38.89754344,16.49,40.4,42.1,6.4,11.6,,584.15,"22,722",41.3,39.5,40.2,44.0
Russell AL,1832,3,89.52335352,19.44,44.75,44.8,5.5,12.4,,647.44,"57,961",49.5,40.0,41.3,48.3
Shelby AL,6497,56,136.9396934,14.93,51.3,34.8,7.6,13.7,,653.66,"89,512",52.9,49.7,37.2,32.4
St. Clair AL,2521,38,268.9006917,12.26,43.45,40.3,5.6,11.4,,809.6,"217,702",47.5,39.4,37.7,42.9
Sumter AL,443,21,13.6059561,24.33,39.2,48.0,6.5,13.5,,913.35,"12,427",44.2,34.2,41.1,54.8
Talladega AL,2306,32,105.18992,17.15,42.85,44.4,5.9,11.6,,760.32,"79,978",46.1,39.6,40.0,48.7
Tallapoosa AL,1211,85,52.67780243,16.41,44.35,41.4,6.5,12.5,,766.3,"40,367",47.1,41.6,37.5,45.2
Tuscaloosa AL,9364,124,154.8449369,16.04,46.9,40.1,7.0,14.2,,1352.03,"209,355",53.3,40.5,37.2,43.0
