county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Denton,13993,158,926.3740968,13.61,57.6,35.9,7.7,16.1,,957.72,"887,207",61.3,53.9,36.2,35.5
DeWitt,1036,42,22.14046455,16.82,46.85,39.4,8.1,19.3,,910.55,"20,160",47.6,46.1,38.9,39.8
Dickens,50,2,2.442392241,15.87,48.2,40.8,4.8,14.6,,905.26,"2,211",49.4,47.0,38.7,42.9
Dimmit,267,7,7.585907177,21.91,42.3,45.7,8.8,25.9,,1334.58,"10,124",43.9,40.7,43.2,48.2
Donley,71,1,3.513058762,14.41,51.8,38.2,4.9,12.9,,933.09,"3,278",53.0,50.6,37.6,38.8
Duval,461,17,6.212760744,22.96,47.4,41.5,6.8,20.5,,1795.82,"11,157",49.7,45.1,39.1,43.8
Eastland,201,4,19.69999356,14.69,48.15,39.9,5.9,13.6,,931.98,"18,360",49.5,46.8,40.7,39.0
Ector,5219,101,184.3317512,17.45,44.85,41.2,7.6,18.0,,901.76,"166,223",46.2,43.5,38.9,43.4
Edwards,68,2,0.911264875,17.23,47.85,40.3,4.7,16.4,,2120.13,"1,932",48.2,47.5,37.3,43.3
Ellis,4536,70,194.2000357,15.38,51.2,38.2,8.1,22.8,,951.73,"184,826",56.8,45.6,35.9,40.4
El Paso,26969,546,827.0391722,20.41,52.5,38.0,6.6,15.2,,1014.75,"839,238",52.8,52.2,37.2,38.7
Erath,911,13,39.17679011,14.26,52.1,37.3,5.9,14.8,,1089.88,"42,698",53.1,51.1,37.0,37.5
Falls,569,5,22.35158814,17.91,44.45,41.9,6.2,15.3,,773.86,"17,297",48.4,40.5,38.0,45.7
Fannin,706,15,39.49378913,14.83,48.95,37.6,5.5,13.5,,899.23,"35,514",52.0,45.9,36.6,38.6
Fayette,496,21,26.40428369,14.27,49.3,38.0,7.3,21.1,,959.92,"25,346",51.4,47.2,36.2,39.8
Fisher,70,3,4.246967244,15.22,52.15,36.5,4.1,12.9,,901.82,"3,830",54.0,50.3,36.0,37.0
Floyd,114,9,5.754757851,17.25,47.9,40.2,4.0,15.3,,992.57,"5,712",50.0,45.8,38.4,41.9
Foard,18,0,1.631955238,15.02,46.95,40.8,3.5,12.0,,707.74,"1,155",47.4,46.5,39.1,42.5
Fort Bend,16712,295,916.0126847,14.54,54.65,32.3,7.4,16.5,,886.11,"811,688",56.8,52.5,32.6,32.0
Franklin,163,6,36.38183113,14.09,50.7,38.9,6.3,15.4,,294.79,"10,725",51.6,49.8,38.6,39.2
Freestone,426,3,22.09930509,15.85,48.25,39.6,6.6,14.7,,892.2,"19,717",51.6,44.9,38.7,40.5
Frio,995,9,17.90036936,22.14,46.1,42.3,7.0,19.4,,1134.39,"20,306",49.4,42.8,37.2,47.3
Gaines,409,10,14.3002575,16.66,39.85,44.5,5.3,13.4,,1502.91,"21,492",42.1,37.6,42.3,46.7
Galveston,11878,165,390.3646487,13.96,55.5,35.3,9.0,19.3,,876.46,"342,139",61.7,49.3,33.3,37.3
Garza,107,4,6.950069735,18.03,40.65,43.8,6.7,17.4,,896.25,"6,229",43.8,37.5,40.3,47.2
Gillespie,335,10,25.42248347,12.07,54.75,33.2,7.6,20.2,,1061.58,"26,988",54.1,55.4,33.3,33.0
Glasscock,9,0,1.56381798,14.06,53.6,36.6,7.2,18.3,,901,"1,409",54.8,52.4,36.8,36.4
Goliad,156,6,8.910556997,16.09,55.6,36.1,7.0,19.3,,859.43,"7,658",56.8,54.4,36.0,36.1
Gonzales,1071,18,19.4754699,17.51,44.5,42.2,6.1,16.9,,1069.91,"20,837",45.5,43.5,38.8,45.5
Gray,345,7,23.55105994,15.46,47.4,39.0,6.4,14.2,,929.3,"21,886",50.1,44.7,39.0,39.0
Grayson,2035,50,139.0982895,14.3,52.7,35.3,6.5,15.2,,979.25,"136,212",57.1,48.3,34.9,35.7
Gregg,2917,76,448.4099707,15.67,49.9,40.4,6.7,15.3,,276.41,"123,945",53.4,46.4,39.7,41.0
Grimes,1104,33,36.04278208,16.3,48.8,42.2,8.4,17.7,,801.27,"28,880",50.2,47.4,41.3,43.1
Guadalupe,3730,78,233.6040211,15.66,56.25,39.4,8.0,18.2,,714.23,"166,847",58.1,54.4,37.5,41.3
Hale,2025,58,33.24443206,18.45,44.15,40.2,5.5,15.4,,1004.86,"33,406",45.8,42.5,38.7,41.7
Hall,35,1,3.278289626,16.56,47.35,41.1,4.8,15.0,,904.13,"2,964",48.5,46.2,38.9,43.3
Hamilton,165,4,10.11536852,13.55,52.65,36.4,6.3,14.8,,836.45,"8,461",52.4,52.9,36.3,36.5
Hansford,171,6,5.865418043,14.93,47.95,39.2,3.9,15.1,,920.48,"5,399",50.6,45.3,39.6,38.7
Hardeman,38,1,5.642349903,14.97,51.05,36.8,3.5,12.5,,697.05,"3,933",51.7,50.4,34.8,38.8
Hardin,1363,32,64.1855075,14.54,49.85,39.9,7.5,15.5,,897.43,"57,602",54.3,45.4,37.8,41.9
Harris,149771,2657,2651.077963,16.9,52.3,36.8,7.4,16.9,,1777.89,"4,713,325",53.0,51.6,35.0,38.6
Harrison,942,35,72.72200793,16.26,49.75,42.7,6.4,13.9,,915.17,"66,553",52.8,46.7,42.5,42.9
Hartley,145,2,3.810565161,13.53,49.4,39.3,6.6,14.1,,1463.3,"5,576",51.4,47.4,39.2,39.4
Haskell,72,3,6.215328507,15.82,49.25,39.3,5.0,13.3,,910.33,"5,658",50.8,47.7,37.3,41.2
Hays,6018,68,338.5908656,14.33,59.7,35.8,9.0,20.3,,679.85,"230,191",61.6,57.8,35.1,36.4
Hemphill,95,0,4.18699499,13.51,52.65,37.9,5.2,14.3,,912.11,"3,819",54.5,50.8,37.7,38.1
Henderson,1055,25,87.1750835,15.19,47.45,38.7,7.2,15.9,,949.09,"82,737",51.4,43.5,37.7,39.6
Hidalgo,33089,1824,548.8488609,22.31,45.85,46.8,6.2,19.3,,1582.78,"868,707",48.4,43.3,44.2,49.4
Hill,724,15,37.18030658,15.06,48.6,39.9,6.3,15.1,,985.71,"36,649",50.6,46.6,38.0,41.7
Hockley,392,9,25.33761846,15.99,48.3,39.3,5.2,13.8,,908.57,"23,021",51.1,45.5,38.3,40.2
Hood,1006,31,141.1176228,13.44,54.65,36.4,6.9,16.2,,436.82,"61,643",56.1,53.2,36.9,35.9
Hopkins,419,18,46.77598385,14.69,47.65,41.7,6.4,14.7,,792.8,"37,084",49.2,46.1,41.2,42.2
Houston,387,11,18.56855279,16.94,46.15,40.4,6.2,14.5,,1236.93,"22,968",47.4,44.9,39.1,41.6
Howard,965,17,40.54541232,17.03,44.4,40.5,6.5,16.0,,904.27,"36,664",45.2,43.6,38.7,42.2
Hudspeth,64,3,1.068618145,21.4,39.2,44.1,5.8,18.0,,4572.26,"4,886",41.9,36.5,39.1,49.1
Hunt,1742,40,111.7731751,15.42,49.3,39.9,6.3,14.3,,882.09,"98,594",53.0,45.6,38.4,41.3
Hutchinson,252,6,23.39415202,14.91,48.4,39.3,6.5,15.6,,895.01,"20,938",50.3,46.5,41.1,37.5
Irion,12,0,1.46052031,14.41,51.35,37.9,5.5,17.3,,1051.68,"1,536",51.3,51.4,37.5,38.3
Jack,144,3,9.710056728,14.65,50.6,39.3,6.7,14.3,,920.18,"8,935",50.3,50.9,39.2,39.3
Jackson,627,16,17.22086104,15.73,49.25,40.3,6.5,17.0,,857.1,"14,760",50.6,47.9,38.4,42.2
Jasper,496,30,36.63992245,16.13,47.5,39.7,6.7,15.1,,969.68,"35,529",51.1,43.9,37.1,42.2
Jeff Davis,14,0,1.004075469,14.11,57,35.5,7.6,20.9,,2264.77,"2,274",58.6,55.4,34.0,37.0
Jefferson,7753,138,226.3659432,18.06,52.4,40.0,8.0,18.0,,1111.32,"251,565",58.1,46.7,37.0,43.0
Jim Hogg,141,3,4.576497923,22.15,47,44.2,7.9,23.8,,1136.24,"5,200",49.6,44.4,41.6,46.7
Jim Wells,1541,40,46.62213521,20.83,47.6,41.9,8.3,21.8,,868.3,"40,482",50.1,45.1,38.6,45.2
Johnson,3256,55,239.392454,14.95,52.1,38.6,6.6,14.3,,734.43,"175,817",52.4,51.8,39.5,37.7
Jones,567,0,21.42849521,16.18,41.4,42.5,6.0,14.6,,937.21,"20,083",42.7,40.1,40.6,44.4
Karnes,946,17,20.70251334,18.72,45.3,41.0,7.1,18.5,,753.58,"15,601",46.3,44.3,38.5,43.4
Kaufman,3249,49,168.7434159,15.5,51.3,39.3,6.7,14.8,,806.87,"136,154",55.8,46.8,38.6,40.0
Kendall,371,10,71.52918112,11.52,58.1,30.5,8.3,19.9,,663.1,"47,431",59.6,56.6,31.5,29.4
Kenedy,7,2,0.207648026,20.7,52.2,40.3,6.2,17.4,,1945.6,404,54.6,49.8,38.0,42.6
Kent,9,0,0.843881857,13.43,57.2,35.5,4.3,12.4,,902.97,762,58.9,55.5,35.3,35.7
Kerr,633,13,47.48320936,13.95,54.25,33.6,7.1,17.7,,1107.76,"52,600",54.3,54.2,32.7,34.4
Kimble,17,1,3.466771115,14.73,49.1,39.0,5.3,16.0,,1251.02,"4,337",49.0,49.2,37.6,40.3
Kinney,58,1,2.68565988,17.79,49.35,42.5,7.4,22.4,,1365.4,"3,667",51.9,46.8,39.6,45.4
Kleberg,1024,47,28.13388354,20.13,52.3,39.5,7.8,21.2,,1090.5,"30,680",54.5,50.1,36.1,42.8
Knox,107,8,4.282875511,16.18,47.8,39.7,4.9,15.4,,855.5,"3,664",48.9,46.7,37.1,42.3
Lamar,1341,38,53.46637642,15.5,38.2,47.1,7.8,21.7,,932.53,"49,859",41.2,35.2,43.0,51.2
Lamb,354,23,12.66751818,17.32,48.05,36.6,6.1,14.2,,1017.8,"12,893",49.2,46.9,36.0,37.1
Lampasas,274,9,30.01036386,13.58,48.3,40.0,4.6,15.4,,714.02,"21,428",49.9,46.7,37.9,42.0
La Salle,360,13,5.032254611,22.5,53.8,36.4,7.8,15.7,,1494.36,"7,520",54.1,53.5,35.8,37.0
Lavaca,1035,36,20.7678991,14.68,47.65,38.9,10.3,23.8,,970.44,"20,154",48.4,46.9,37.7,40.1
Lee,233,14,27.18699238,15.15,50.15,39.1,6.4,14.1,,634.09,"17,239",51.8,48.5,38.6,39.5
Leon,270,8,16.10780494,14.73,47.1,38.9,7.0,16.3,,1080.47,"17,404",48.0,46.2,39.5,38.2
Liberty,2272,51,74.99511192,16.48,47.55,41.7,7.2,15.7,,1176.33,"88,219",51.2,43.9,39.3,44.0
Limestone,605,15,25.114121,16.53,46.2,40.5,5.6,13.7,,933.22,"23,437",49.9,42.5,38.5,42.5
Lipscomb,50,1,3.467842279,14.33,51.8,36.6,5.0,15.6,,932.28,"3,233",52.1,51.5,36.0,37.2
Live Oak,374,9,11.31388214,16.4,50.35,39.0,6.9,17.7,,1078.94,"12,207",52.5,48.2,37.2,40.8
Llano,143,2,22.55627426,12.68,54.4,35.1,9.0,20.3,,966.25,"21,795",54.7,54.1,36.6,33.6
Lubbock,13283,137,344.7931701,14.82,50.6,36.0,6.8,17.1,,900.74,"310,569",54.0,47.2,34.6,37.3
Lynn,115,5,6.660324566,16.4,49.5,39.6,4.2,14.2,,893.5,"5,951",52.3,46.7,37.6,41.5
Madison,735,6,30.23196749,16.47,46.95,41.7,6.7,14.6,,472.48,"14,284",49.5,44.4,40.6,42.8
Marion,156,14,23.44013892,16.54,45.5,43.7,7.5,15.2,,420.39,"9,854",47.0,44.0,42.1,45.3
Martin,79,6,6.302351232,15.84,47.15,39.7,5.3,15.0,,915.69,"5,771",48.0,46.3,38.3,41.0
Mason,79,2,4.584557956,14.01,51.5,36.5,3.7,14.6,,932.26,"4,274",51.6,51.4,36.8,36.1
Matagorda,1068,50,22.72673708,17.51,50.2,39.3,7.2,18.7,,1612.33,"36,643",51.8,48.6,37.7,40.9
Maverick,3838,135,45.45609363,23.61,41.05,45.7,6.2,18.8,,1291.84,"58,722",42.5,39.6,42.9,48.4
McCulloch,172,4,7.437839449,15.55,50.25,38.7,6.7,16.6,,1073.43,"7,984",51.8,48.7,38.0,39.3
McLennan,8800,123,242.0355193,15.61,50.1,38.5,6.5,16.3,,1060.27,"256,623",53.8,46.4,35.4,41.5
McMullen,24,1,0.650208714,15.92,50.2,39.1,8.1,18.0,,1142.71,743,53.6,46.8,38.9,39.2
Medina,1241,48,38.65041247,16.83,52.05,39.2,7.5,19.3,,1334.63,"51,584",55.2,48.9,37.0,41.4
Menard,31,0,2.369447646,16.41,52.85,38.2,5.5,17.7,,902.32,"2,138",52.8,52.9,36.8,39.5
Midland,4080,85,196.0378258,14.93,49.75,36.4,7.4,17.4,,902.03,"176,832",52.3,47.2,37.4,35.3
Milam,519,7,24.29483039,15.72,50.25,40.0,6.4,16.6,,1021.74,"24,823",52.3,48.2,38.2,41.7
Mills,64,0,6.497766518,13.86,49.95,37.3,5.8,14.2,,749.95,"4,873",50.0,49.9,36.6,37.9
Mitchell,106,2,9.328806306,16.88,49.2,39.9,5.6,14.7,,915.98,"8,545",51.8,46.6,37.9,41.8
Montague,200,4,21.11645054,14,50.45,38.4,6.7,14.5,,938.51,"19,818",51.0,49.9,38.5,38.2
Montgomery,12022,162,564.0127773,13.74,55.5,35.9,8.0,17.1,,1076.91,"607,391",58.3,52.7,36.6,35.2
Moore,1209,22,23.01908363,17.02,48,40.1,5.6,14.7,,909.68,"20,940",50.7,45.3,39.1,41.1
Morris,194,4,47.89483858,16.54,46.85,40.4,6.4,14.7,,258.65,"12,388",48.3,45.4,39.0,41.8
Motley,10,0,1.2122804,14.18,53.55,36.0,4.7,12.1,,989.87,"1,200",54.6,52.5,35.4,36.6
Nacogdoches,1664,65,66.43910292,15.93,49.3,39.7,7.1,15.4,,981.41,"65,204",52.7,45.9,37.7,41.6
Navarro,1781,36,46.13309766,16.08,45.15,40.7,5.9,14.3,,1086.27,"50,113",48.2,42.1,37.5,43.8
Newton,187,13,14.46938493,17.18,45.1,42.6,7.2,15.2,,939.57,"13,595",48.4,41.8,41.0,44.1
Nolan,291,5,16.09829214,16.38,47.7,39.0,6.1,16.2,,914.01,"14,714",48.9,46.5,37.8,40.1
Nueces,20767,423,310.5607845,18.19,52.65,38.1,8.5,21.8,,1166.58,"362,294",55.7,49.6,35.7,40.4
Ochiltree,169,5,10.71296316,15.66,45.7,39.9,5.1,14.1,,918.14,"9,836",47.4,44.0,39.5,40.3
Oldham,21,1,1.406565303,13.25,50.55,38.5,5.3,13.6,,1501.53,"2,112",52.6,48.5,37.9,39.0
Orange,2022,44,219.7175677,15.59,48.1,40.3,8.2,16.4,,379.56,"83,396",53.4,42.8,38.0,42.6
Palo Pinto,623,16,29.61666464,14.83,47.7,39.4,6.7,15.4,,985.56,"29,189",47.5,47.9,38.7,40.1
Panola,415,26,28.23749985,15.32,47.2,41.8,6.4,13.9,,821.39,"23,194",49.2,45.2,41.0,42.6
Parker,2096,38,156.9829149,13.56,53.9,36.9,6.4,14.7,,910.15,"142,878",54.0,53.8,37.9,35.8
Parmer,452,12,10.8502875,16.85,44.5,41.5,3.8,13.2,,885.23,"9,605",46.2,42.8,39.1,43.8
Pecos,403,5,3.320594908,18.98,44.2,40.2,7.3,19.7,,4765.11,"15,823",44.3,44.1,40.0,40.4
Polk,1178,25,46.2677154,15.4,45.85,41.9,7.7,16.4,,1109.91,"51,353",48.4,43.3,39.5,44.2
Potter,6500,76,127.3398694,15.86,46.2,38.9,6.7,16.5,,922.06,"117,415",48.0,44.4,35.7,42.0
Presidio,97,7,1.738345771,20.55,42.15,42.5,5.8,20.6,,3856.54,"6,704",41.9,42.4,38.3,46.6
Rains,76,5,48.3371316,14.44,49,40.7,7.7,16.2,,258.89,"12,514",50.6,47.4,40.5,40.9
Randall,3575,48,149.2840031,12.77,57,31.8,6.8,14.5,,922.49,"137,713",60.5,53.5,32.4,31.2
Reagan,90,6,3.272708721,17.26,43.6,41.8,6.9,18.7,,1176.09,"3,849",44.7,42.5,41.2,42.3
Real,120,8,4.930794612,15.22,46.25,39.5,6.4,16.9,,700.09,"3,452",46.6,45.9,38.4,40.6
Red River,169,14,11.36743975,16.06,40.3,42.7,5.7,14.3,,1057.67,"12,023",40.9,39.7,41.3,44.0
Reeves,216,6,6.046636615,21.86,39.85,44.9,7.2,21.5,,2642.13,"15,976",41.4,38.3,41.3,48.5
Refugio,310,14,8.486417823,17.87,50.35,40.2,7.5,20.2,,818.72,"6,948",52.2,48.5,38.6,41.7
Roberts,14,0,0.923992426,12.07,57.75,34.8,4.2,14.2,,924.25,854,59.2,56.3,36.1,33.4
Robertson,341,4,19.72208425,16.33,45.5,41.7,7.2,16.3,,865.73,"17,074",48.5,42.5,40.2,43.2
Rockwall,1722,30,705.5006388,12.96,55.1,33.3,5.8,13.6,,148.71,"104,915",58.3,51.9,33.7,32.8
Runnels,285,9,9.708480732,15.54,48.25,39.6,6.8,19.5,,1057.22,"10,264",49.1,47.4,38.4,40.7
Rusk,950,19,57.9588793,16.27,47.45,42.1,6.5,13.9,,938.7,"54,406",50.1,44.8,40.0,44.1
Sabine,82,8,18.28145322,15.46,47.8,40.8,7.4,17.5,,576.65,"10,542",50.6,45.0,39.8,41.8
San Augustine,244,15,13.90797805,17.33,42.15,43.7,6.8,15.0,,592.25,"8,237",44.7,39.6,41.1,46.2
San Jacinto,228,11,45.95674884,15.46,46.2,41.6,7.3,15.0,,627.96,"28,859",46.7,45.7,40.5,42.7
San Patricio,1501,77,94.37004144,18.46,50.7,41.0,7.8,20.6,,707.11,"66,730",52.4,49.0,39.0,43.0
San Saba,77,0,5.319195664,15.19,54.3,36.0,5.8,14.8,,1138.33,"6,055",56.2,52.4,35.5,36.5
Schleicher,53,2,2.130857378,15.99,53.3,37.4,4.6,14.5,,1310.74,"2,793",53.4,53.2,35.9,38.8
Scurry,856,8,18.40327894,15.36,45.1,38.8,6.3,14.9,,907.61,"16,703",47.8,42.4,38.2,39.3
Shackelford,29,0,3.565928725,13.14,53.15,37.5,4.1,12.6,,915.61,"3,265",54.2,52.1,38.1,36.9
Shelby,525,27,30.28277019,16.79,46.4,43.0,6.3,13.8,,834.6,"25,274",47.8,45.0,41.1,44.9
Sherman,66,1,3.2731487,14.35,48.25,39.3,3.6,13.0,,923.27,"3,022",50.1,46.4,39.4,39.2
Smith,5290,112,245.1171608,14.4,51.1,35.9,6.0,14.2,,949.55,"232,751",52.3,49.9,34.8,37.0
Somervell,151,5,47.56396227,13.19,56.6,34.9,5.2,14.3,,191.91,"9,128",56.6,56.6,35.5,34.3
Starr,3825,173,52.57365501,26.38,36.35,51.0,5.8,19.5,,1229.38,"64,633",36.8,35.9,46.2,55.7
Stephens,145,4,10.16331181,14.67,49.25,39.0,6.0,15.1,,921.55,"9,366",50.1,48.4,39.1,38.8
Sterling,7,0,1.397821521,15.33,45.75,40.2,3.4,13.9,,923.58,"1,291",45.8,45.7,39.5,40.9
Stonewall,16,1,1.466897024,14.01,53.9,37.3,3.8,12.3,,920.31,"1,350",54.3,53.5,36.8,37.8
Sutton,85,3,2.596045431,16.28,48.4,39.6,7.0,19.8,,1454.52,"3,776",49.2,47.6,38.0,41.2
Swisher,113,3,8.212136688,16.48,47.65,39.3,4.3,14.0,,900.74,"7,397",49.9,45.4,37.8,40.8
Tarrant,53838,751,2342.478497,16.24,51.9,36.6,6.8,16.3,,897.56,"2,102,515",55.3,48.5,35.7,37.5
Taylor,3377,60,150.144669,14.51,51.85,35.7,6.6,15.8,,919.34,"138,034",54.3,49.4,35.7,35.7
Terrell,3,0,0.329100825,16.88,55.05,37.6,4.4,18.2,,2357.94,776,56.2,53.9,36.6,38.5
Terry,323,4,13.84686181,17.93,43.35,42.0,5.6,15.4,,890.96,"12,337",46.1,40.6,39.7,44.3
Throckmorton,13,2,1.639469603,13.34,49.1,39.3,3.4,11.8,,915.54,"1,501",49.3,48.9,39.0,39.5
Titus,1498,31,76.9284976,16.11,46.1,39.2,5.9,15.4,,425.72,"32,750",46.5,45.7,37.6,40.8
Tom Green,3968,71,77.37094565,15.46,52,36.7,7.3,17.9,,1540.63,"119,200",51.6,52.4,35.3,38.1
Travis,30075,437,1246.298633,13.49,59.4,31.4,9.7,20.6,,1022.19,"1,273,954",62.2,56.6,29.3,33.5
Trinity,199,7,20.518171,15.59,46.3,41.6,7.8,15.7,,714.05,"14,651",46.3,46.3,40.6,42.5
Tyler,236,4,23.15953707,15.12,46.65,40.7,6.4,14.0,,935.77,"21,672",50.2,43.1,38.0,43.4
Upshur,416,11,70.44304225,14.88,50.25,40.5,8.7,16.0,,592.72,"41,753",51.3,49.2,40.7,40.2
Upton,25,2,2.944610405,17.12,48.5,39.4,4.5,14.1,,1241.93,"3,657",49.6,47.4,38.5,40.3
Uvalde,805,36,17.15585324,19.45,47.75,40.4,6.1,19.7,,1558.71,"26,741",49.6,45.9,37.8,43.0
Val Verde,2278,117,15.16534166,20.49,46.1,42.8,7.9,20.9,,3232.7,"49,025",46.5,45.7,39.3,46.2
Van Zandt,756,28,65.83600912,14.56,46.8,40.3,6.2,14.0,,859.56,"56,590",48.2,45.4,39.4,41.2
Victoria,4121,96,103.6036948,16.68,52.65,37.0,8.0,19.7,,888.81,"92,084",53.5,51.8,36.5,37.5
Walker,3808,58,91.0419084,16.43,50.05,40.6,7.7,16.0,,801.51,"72,971",51.2,48.9,39.7,41.4
Waller,926,15,106.5517175,16.58,49.2,41.4,7.2,16.3,,518.49,"55,246",52.7,45.7,40.2,42.6
Ward,140,1,14.35493713,17.59,45.5,41.9,6.8,17.1,,835.81,"11,998",48.5,42.5,40.3,43.4
Washington TX,655,48,57.74380431,14.39,51.6,38.5,6.0,19.0,,621.4,"35,882",53.7,49.5,38.0,39.0
Webb TX,14320,328,81.95469344,24.25,42.9,45.0,7.2,21.2,,3375.67,"276,652",47.1,38.7,44.3,45.7
Wharton TX,1394,55,37.96767503,17.18,46.85,41.1,7.0,19.0,,1094.51,"41,556",47.6,46.1,38.8,43.4
Wheeler TX,50,0,5.523328854,14.12,52.25,36.2,4.5,12.9,,915.39,"5,056",52.8,51.7,36.1,36.3
Wichita TX,2199,25,208.8809554,15.01,54.05,36.9,7.1,16.2,,633.04,"132,230",57.2,50.9,35.9,37.9
Wilbarger TX,234,2,13.05410158,15.69,47.65,39.6,5.0,12.3,,978.16,"12,769",48.5,46.8,37.7,41.5
Willacy TX,1213,54,27.23296824,23.04,42.9,47.3,6.6,21.8,,784.27,"21,358",43.4,42.4,43.8,50.7
Williamson TX,9082,145,519.6225253,13.09,60,33.2,8.9,17.6,,1136.5,"590,551",62.2,57.8,33.5,32.9
Wilson TX,963,28,63.15542145,15.53,54.95,38.4,7.4,18.7,,808.64,"51,070",57.7,52.2,36.8,40.0
Winkler TX,121,4,9.521092608,17.62,43.25,43.2,5.8,15.4,,841.29,"8,010",46.5,40.0,41.5,44.8
Wise TX,801,14,75.83546444,13.96,52.2,38.9,7.0,15.7,,922.84,"69,984",52.0,52.4,39.1,38.7
Wood TX,567,29,65.44182103,14.08,49.15,39.7,6.1,14.4,,695.87,"45,539",50.6,47.7,40.2,39.1
Yoakum TX,268,5,10.8941097,16.38,46.45,41.1,5.0,15.1,,799.79,"8,713",49.4,43.5,39.8,42.3
Young TX,386,6,19.34686862,14.31,48.85,38.1,5.3,13.6,,930.9,"18,010",48.7,49.0,38.1,38.1
Zapata TX,341,6,13.39942165,22.96,41.9,48.3,5.9,16.4,,1058.18,"14,179",43.7,40.1,45.2,51.3
Zavala TX,435,16,9.094959365,23.76,43.4,44.5,5.1,18.0,,1301.82,"11,840",45.3,41.5,39.8,49.1
Beaver UT,45,0,2.588305181,11.59,58.35,33.2,5.5,11.0,,2592.43,"6,710",60.5,56.2,32.9,33.4
Box Elder,654,5,8.328466665,12.7,56.9,37.0,4.3,8.7,,6729.45,"56,046",59.7,54.1,37.1,36.9
Cache,3170,6,109.3524383,12.44,62.7,33.3,3.6,7.6,,1173.17,"128,289",66.6,58.8,32.4,34.1
Carbon,160,0,13.78267517,12.8,53.95,34.6,6.2,13.6,,1484.69,"20,463",54.9,53.0,34.5,34.7
Daggett,1,0,1.313787858,11.67,54.35,34.1,8.4,15.2,,723.1,950,53.1,55.6,34.3,33.9
Davis,6047,34,561.0761242,12.09,59.45,32.5,3.9,8.6,,633.57,"355,481",60.3,58.6,33.4,31.6
Duchesne,111,0,6.122919027,11.99,57.75,34.0,5.0,11.3,,3256.29,"19,938",58.8,56.7,33.7,34.2
Emery,54,2,2.243922337,12.08,57.25,36.1,4.6,9.0,,4461.83,"10,012",56.6,57.9,36.8,35.4
Garfield,59,2,0.969760968,11.56,59,33.9,5.1,9.1,,5208.5,"5,051",60.3,57.7,33.9,33.8
Grand,77,1,2.64028368,11.27,56.6,31.0,7.8,15.9,,3694.3,"9,754",55.6,57.6,32.2,29.7
Iron,815,3,16.60720991,11.95,58.4,33.8,4.4,9.2,,3302.12,"54,839",60.8,56.0,33.3,34.2
Juab,173,2,3.527709117,12.12,57.7,36.2,4.3,8.7,,3406.46,"12,017",59.1,56.3,36.6,35.8
Kane,87,1,1.9193886,11.12,59.9,31.5,5.7,10.9,,4108.6,"7,886",61.0,58.8,32.1,30.9
Millard,206,1,1.931314445,12.09,55.15,33.7,4.4,9.1,,6828.51,"13,188",55.6,54.7,33.2,34.2
Morgan UT,127,0,19.84970284,10.3,66.8,28.2,4.4,8.8,,610.79,"12,124",68.7,64.9,28.7,27.6
Piute,16,0,1.93128844,12.91,56.2,36.9,4.9,10.1,,765.81,"1,479",56.9,55.5,36.4,37.3
Rich UT,20,0,2.285614345,12.11,64.5,30.8,4.1,8.0,,1086.36,"2,483",65.7,63.3,31.3,30.3
Salt Lake,35436,272,1436.486637,12.25,58.35,31.7,6.5,14.2,,807.83,"1,160,437",59.3,57.4,30.9,32.5
San Juan UT,713,29,1.929505246,16.39,52.75,38.5,5.3,12.7,,7933.64,"15,308",54.1,51.4,34.1,42.8
Sanpete UT,259,2,19.30417855,12.08,55.65,34.4,4.2,9.6,,1602.71,"30,939",53.7,57.6,34.2,34.6
Sevier UT,153,1,11.26974943,12.28,54.85,34.8,4.4,8.4,,1918.41,"21,620",55.4,54.3,34.6,35.0
Summit UT,1112,1,22.39194538,9.2,71.4,21.2,10.7,18.0,,1882.15,"42,145",73.2,69.6,22.4,20.0
Tooele UT,993,1,9.915158767,13.49,55.1,37.9,5.6,11.8,,7287.73,"72,259",58.5,51.7,38.4,37.3
Uintah UT,131,0,7.942283201,12.66,53.05,36.5,5.9,12.0,,4499.21,"35,734",53.4,52.7,37.1,35.9
Utah UT,22010,66,297.1588839,11.79,59.65,32.9,3.1,6.5,,2141.06,"636,235",60.7,58.6,34.5,31.3
Wasatch UT,875,8,28.19208759,10.95,67.35,29.3,6.7,10.8,,1209.24,"34,091",71.7,63.0,31.0,27.5
Washington UT,3676,34,73.06620797,10.9,59.05,32.0,5.0,8.8,,2430.07,"177,556",60.8,57.3,33.0,31.0
Wayne UT,2,0,1.099079303,11.32,59.7,31.4,5.3,9.9,,2466.61,"2,711",60.0,59.4,32.0,30.8
Weber UT,4768,32,394.5670139,13.23,58.85,34.5,5.8,12.6,,659.49,"260,213",60.9,56.8,33.5,35.5
Addison VT,111,2,45.49019123,10.53,65.65,28.6,11.4,20.7,,808.46,"36,777",64.4,66.9,27.9,29.3
